Station Name,Latitude,Longitude,Bikes Available
Livingston Rd (Highland Creek Trail),43.7561681,-79.2026694,6
Twelfth St / Thirteenth St,43.6002896,-79.5108692,18
Florence Gell Park,43.6615467,-79.498398,14
Wallace Ave / Pauline Ave,43.6632257,-79.4397052,3
Kingston Rd / Beech Ave,43.680095,-79.291714,3
Victoria Park Ave / Danforth Ave,43.691468,-79.288619,7
Union Station,43.645609,-79.380386,36
Hayter St / La Plante Ave,43.6591666666667,-79.3855555555556,1
Seaton St / Dundas St E - SMART,43.658777,-79.369596,11
Lundy Ave / Étienne Brûlé Park,43.6625395,-79.5030161,13
Chiltern Hill Rd / Eglinton Ave W,43.7004017,-79.4275305,0
Torresdale Ave / Antibes Dr,43.77953,-79.45233,8
Esther Shiner Stadium,43.7774374,-79.4447096,3
St. George St / Hoskin Ave,43.6637403,-79.39806449999999,1
Fleming Cres / Bayview Ave,43.707045,-79.375437,3
King St E / Victoria St,43.6495789,-79.3762096,7
Alameda Ave / Vaughan Rd - SMART,43.690903,-79.4375028,0
Adelaide St W / Strachan Ave,43.643253094827294,-79.41230469904167,12
Royal York Rd / Lake Shore Blvd W,43.6029904,-79.4926867,14
Runnymede Rd / Annette St,43.6596299,-79.4799176,5
Salem Ave / Bloor St W,43.6608333,-79.43166666666667,6
Dufferin St / Bloor St W,43.66083333333333,-79.43583333333333,1
Davisville Ave / Pailton Cres,43.69933,-79.39199,0
High Park Ave / Dundas St W,43.6653032,-79.4701178,11
Judson St / Royal York Rd,43.6162721,-79.4990363,2
Wilket Creek Park,43.720645,-79.355474,1
Annette St / Dundas St W,43.6641174,-79.4588522,8
Noble St / Queen St W,43.6424558,-79.4296346,3
Oriole Pkwy / Kilbarry Rd,43.6954486,-79.4026176,1
East Lynn Ave / Danforth Ave,43.6850809,-79.3149901,7
Langford Ave / Danforth Ave - SMART,43.6800218,-79.3405681,5
University of Toronto Scarborough,43.7842419,-79.1849889,4
190 Queens Quay E,43.6451308,-79.36536439999999,5
324 Cherry St,43.6482995,-79.3552533,6
Elm St/ University Ave (East Side),43.65637299999999,-79.38781039999999,8
Walton St / Elizabeth St - SMART,43.657838,-79.38631,0
Waterfront Trail (Rouge Hill),43.778015,-79.131911,7
St Clair Ave W / Gunns Rd,43.672079,-79.470171,9
Pape Ave / Gamble Ave,43.690237,-79.350119,10
Roehampton Ave / Mount Pleasant Rd,43.70942,-79.39139,0
Church St / Bloor St E,43.671389,-79.382919,2
200 Bloor St E,43.671561,-79.38117,0
Moore Park,43.693256,-79.383238,0
Bloor St W / Pacific Ave,43.65412449999999,-79.4636388,5
Danforth Ave / Dewhurst Blvd,43.680207,-79.339243,0
Bloor St W / Brock Ave,43.6589882,-79.438715,3
Davenport Rd / Dovercourt Rd - SMART,43.6741219,-79.4352208,1
1 Market St - SMART,43.6469928,-79.3706665,10
Brick Works,43.683884,-79.36647,12
University Ave / Gerrard St W (WEST) - SMART,43.6578449,-79.3899265,2
University Ave / King St W - SMART,43.6477785,-79.3847928,4
Amroth Ave / Danforth Ave,43.6856128,-79.31168269999999,0
Summerhill Subway Station,43.681944,-79.390556,0
Niagara St / Richmond St W,43.64534,-79.409597,21
Beaty Ave / Queen St W,43.6393107,-79.4408141,12
Blantyre Park,43.68306889999999,-79.279682,3
Queen St E / Rushbrooke Ave,43.6626628,-79.3323698,14
Donlands Subway Station,43.681114,-79.3373885,11
Lynn Williams St / East Liberty St - SMART,43.638925,-79.4168659,14
Eastwood Rd / Woodbine Ave - SMART,43.676216,-79.309395,10
Victoria St / Queen St E,43.652822,-79.378208,3
285 Victoria St,43.656633,-79.379625,30
Gerrard St E / Victoria Park Ave - SMART,43.686962,-79.286864,3
Kilgour Rd / Rumsey Rd,43.718039,-79.371914,1
Bay St / Scollard St,43.672152,-79.39018,1
Weston Rd / St Clair Ave W - SMART,43.673019,-79.467994,3
Sunnybrook Health Centre - L Wing,43.72268,-79.37644,0
Dundas St W / St Helen's Ave - SMART,43.6504218,-79.4407647,3
Yonge St / St Clair Ave,43.68850459999999,-79.3940052,0
Spadina Ave / Blue Jays Way,43.641705,-79.393295,15
Bloor St W / Riverside Dr,43.647663,-79.487583,2
Sunnybrook Health Centre - S Wing,43.720998,-79.377456,1
Yonge St / Woburn Ave - SMART,43.72814640000001,-79.4032194,1
Simcoe St / Michael Sweet Ave,43.652327224103,-79.3882538196087,2
Queen St W / Dovercourt Rd,43.6438602,-79.4227573,7
King's Mill Park,43.64920406876699,-79.49336334201408,1
University Ave / Richmond St W,43.6503935,-79.3860211,0
135 Queens Wharf Rd - SMART,43.6399714,-79.39940399999999,8
406 Oakwood Ave,43.68827060022711,-79.43937767081853,0
Granby St / Church St - SMART,43.6614605,-79.37894570000002,5
Lumsden Ave / Eastdale Ave,43.69413548199171,-79.30058718775287,7
Yonge St / Lawrence Ave E,43.7254665,-79.40115449999999,0
Yonge St / Orchard View Blvd,43.7083577,-79.39886200000001,3
